year,mBadPercent,mUnknownPercent,mOtherPercent,total
1928,4.04178778616612,34.962106019041,60.9961061947929,13792164
1929,3.85665532903397,35.3591465634496,60.7841981075165,11396559
1930,3.95126975792684,35.1180239347433,60.9307063073299,10455930
1931,3.86959614952429,32.7217074318419,63.4086964186338,7306318
1932,3.37629946549707,34.1805050757746,62.4431954587283,6339722
1933,3.87303440432279,36.2006431028403,59.9263224928369,11076922
1934,4.06803809197887,37.0906814607757,58.8412804472455,11992341
1935,4.55642026847439,37.5788012191787,57.8647785123469,12780735
1936,4.11449347121557,36.5088956123861,59.3766109163983,12970102
1937,3.65134325034614,36.2177492029166,60.1309075467373,12358493
1938,4.03024102167477,35.5719691861536,60.3977897921716,11256498
1939,4.2095681812978,33.3042052083722,62.48622661033,9564639
1940,2.58810153885608,24.3844719666797,73.0274264944642,5903671
1941,1.42714072955383,21.1420571609439,77.4308021095022,4062949
1942,1.70762407390938,22.1751883280528,76.1171875980378,3665678
1943,1.37104061081352,18.8640169094688,79.7649424797177,3118726
1944,1.6155996793664,19.86581561496,78.5185847056736,3088884
1945,1.71077058353897,20.2320604011687,78.0571690152923,3311724
1946,1.58403204758278,18.3681309025099,80.0478370499073,4011535
1947,1.18302905040762,18.5055689516592,80.3114019979332,4354500
1948,1.04088981545765,19.7363486693609,79.2227615151815,3533227
1949,1.3981001778481,19.7672807085373,78.8346191136146,3362420
1950,1.33441574448891,19.773214243608,78.8923700119031,3265549
1951,1.22213051073464,18.3967350036814,80.3811344855839,3298993
1952,1.28190639408214,18.4957663185211,80.2223272873968,2796148
1953,1.10366462567325,18.3787316820813,80.5176036922454,3023201
1954,1.18016040338593,16.7914450705207,82.0283945260934,3242949
1955,1.49998435407165,16.9434053025585,81.5566103433698,3259634
1956,1.32521637611335,16.8317308290833,81.8430527948034,3614655
1957,1.24359873004101,17.3027655251982,81.4536357447608,3171441
1958,0.980487465437599,14.5223225523885,84.4971899821739,3908872
1959,1.11885342467541,15.4928222638886,83.388324311436,3908823
1960,2.05023386752339,24.3021510833213,73.6476150491554,3856243
1961,1.42321561028439,18.4848532312398,80.0919311584758,3575284
1962,1.36869209529715,18.0857825972531,80.5455253074497,3586928
1963,1.58214586430682,20.138125073337,78.2797290623561,1551058
1964,1.51882767431455,20.1644187939384,78.316753531747,1544349
1965,1.36990854892545,19.9110582735815,78.719033177493,1534263
1966,1.43624659470351,20.4758298809028,78.0879235243937,1502806
1967,1.4347692459675,20.7556515391835,77.8095792148491,1457656
1968,1.43656244448504,21.3928221468527,77.1706154086623,1593039
1969,1.34952339216099,20.3942685469224,78.2562080609166,1579076
1970,1.32126894827317,20.326363494296,78.3523675574309,1599750
1971,1.60277586870768,22.0251120520526,76.3721120792397,1581631
1972,1.59577495888742,21.4132594881085,76.9909655530041,1598659
1973,1.61547740165482,22.0555152405755,76.3290073577697,1652267
1974,1.76108122917706,22.821878400488,75.4170403703349,1547572
1975,1.56308257475198,20.6295974247393,77.8073200005087,1493907
1976,1.78430997824548,20.3524937789536,77.8631962428009,1501757
1977,1.92838929362819,21.0648301897773,77.0067805165945,1580853
1978,1.03288097740537,17.5678558020173,81.3992632205773,1036131
1979,1.32757537688442,17.6702653894472,81.0021592336683,2547200
1980,1.15690511646308,16.3398385453405,82.5032563381964,1339695
1981,0.803264619382151,15.9030621071449,83.2936732734729,1179188
1982,1.65221213565948,18.1008578093894,80.2469300549511,2472927
1983,2.40322104858798,20.3099224116937,77.2868565397183,1671257
1984,2.42377228041006,20.0256183182503,77.5506094013396,1474726
1985,2.20976946315683,19.5650873123331,78.2251432245101,1437254
1986,1.91317528665842,19.7644300690609,78.3223946442807,1399924
1987,2.00830707759853,20.5152441191102,77.4764488032913,1266390
1988,1.33327002850476,17.7718634655525,80.8948665059427,1137354
1989,1.53251906526158,18.2175962633529,80.2498846713855,1109872
1990,2.03436631219251,19.2918004723954,78.6738332154121,1219741
1991,2.16615813213054,19.6400902096047,78.1937516582648,1507600
1992,1.89782004263871,19.2203295476443,78.881850409717,1634665
1993,1.66980442609314,19.1230664048686,79.2071291690382,1484605
1994,1.96207677085407,19.8475537655471,78.1903694635989,1391179
1995,2.24770703661745,20.4065181047714,77.3457748586111,1343458
1996,2.17605149374854,19.3049946193778,78.5189538868737,1298177
1997,1.97460586768571,18.3488660643852,79.6765280679291,1261315
1998,2.07386762315923,19.8335896085553,78.0925427682855,1325398
1999,1.72716848583372,18.8924611007896,79.3803704133767,1377920
2000,1.38206485338446,17.0572736390017,81.5606615076138,1422871
2001,1.31370037109728,17.1582536991649,81.5280459297378,1376189
2002,0.787716247311056,17.0657023412938,82.1465814113952,1281172
2003,0.854243894047062,18.6188092344358,80.5269468715171,1348561
2004,0.89214505820378,19.5028675035239,79.6049874382724,1352919
2005,0.789396369055728,19.5005276867297,79.7100759442146,1218526
2006,0.66427434567319,18.8524227776468,80.48330287668,1085696
2007,0.618284366658634,18.4929755464026,80.8887400869388,1087202
2008,0.610442792713704,18.8488843723453,80.540672834941,563853
